201908jp,201908kr,202010kr,201810kr,201812jp,201912jp
30,25.9,18.5,15.4,11.6,6.8
29.8,28,18.9,15.9,9.8,10.9
30,29,19.6,17.3,12.8,8.1
29.7,27.9,16.3,19.3,16.2,7.5
29.8,30.1,13,16.9,13.6,7.2
29.3,31.2,13.9,18,11.2,6
30.2,26.5,15.7,16.4,10.8,6
30.7,28.5,16.9,14.8,6.7,7
30.4,29.4,16.9,15.3,4.8,5.7
30.2,31.1,16.6,12,4.7,7.5
30.2,30,16.6,9.7,5.4,7.4
29.8,26.2,15.9,10.9,8.6,9.2
30.7,28.8,13.3,12.5,6.9,6.4
28.6,30,12.5,13.2,5.2,7.3
28.4,25.5,11.4,15.2,4.6,7.4
29,25.5,11.5,14.5,4.2,5.9
29.2,25.5,12.8,12.4,8.3,10.4
29.1,25.2,13.3,12.7,7.5,11.8
27.2,25.9,14.8,13.1,8.2,8.7
26.2,27.8,14.9,13.4,9,9
29.3,26.6,13.8,13.4,7.5,7.3
29.1,26.5,13.2,14,9.8,6.2
23.8,25.8,8.3,12.2,9.9,7.9
25.5,23.6,8.4,12.5,6.8,7.4
25.4,24.6,11.5,13.8,4.4,5.6
25.5,26,12.6,12.2,7.2,8
23.4,25.3,13.7,8.7,7.6,7.8
25,25.7,13.5,8.3,2.3,5
27.6,23,10.5,7.2,2.4,5.5
25,22.2,11.6,6.1,3,8.1
24.2,23.1,13.3,7.4,3.4,7.7
